Code du département,Libellé du département,Code de la circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Emmanuel MACRON,Marine LE PEN,Jean-Luc MELANCHON,Nicolas DUPONT-AIGNAN,Jean LASSALLE,Philippe POUTOU,Nathalie ARTHAUD,Fabien ROUSSEL,éric ZEMMOUR,Anne HIDALGO,Yannick JADOT,Valérie PECRESSE
34,HERAULT,1,84607,66922,65495,1427,16103,14736,17486,1046,1731,410,262,1229,6528,1299,3189,2540
34,HERAULT,2,60414,44262,43412,850,9894,4568,20684,507,735,327,137,785,2810,1019,2876,1510
34,HERAULT,3,85109,70784,69268,1516,19972,14015,16907,1308,2169,458,226,1312,6297,1624,4617,3221
