Code du département,Libellé du département,Code de la circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Emmanuel MACRON,Marine LE PEN,Jean-Luc MELANCHON,François FILLON,Benoît HAMON,Nicolas DUPONT-AIGNAN,Jean LASSALLE,Philippe POUTOU,François ASSELINEAU,Nathalie ARTHAUD,Jacques CHEMINADE
34,HERAULT,1,84607,66922,65495,1427,14964,14499,15177,12502,3779,2316,726,496,727,215,94
34,HERAULT,2,60414,44262,43412,850,10671,4766,14634,6899,4122,885,297,420,502,152,64
34,HERAULT,3,85109,70784,69268,1516,17397,13168,14758,14410,4585,2655,763,544,692,202,94
